N,P,K,temperature,humidity,ph,rainfall,label,Soiltype
26.86565001,7.609685763,6.976126889,34.65834929,91.97685827,6.702178666,114.0191251,orange,Clay Soil
41.7316371,68.45823127,19.18194092,29.51633503,65.22209141,7.545074209,69.79447418,blackgram,Sandy Soil
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,papaya,Red Soil
118.2930079,27.16524665,33.52681171,23.35896004,59.54732106,6.440454613,121.4720381,coffee,Black Soil
67.18832883,47.75331386,45.94760647,26.67695182,81.64032058,7.852500116,279.2073233,rice,Sandy Soil
29.41864567,137.8174049,195.5962108,22.2419395,94.08134007,6.390587585,119.0174136,apple,Loamy Soil
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,mothbeans,Black Soil
75.05534939,39.91953624,31.73410808,24.93857497,78.97662036,6.850242209,166.8820958,jute,Loamy Soil
6.729545902,65.25198542,12.92337943,34.92443867,29.97159548,6.348804857,156.9687211,pigeonpeas,Black Soil
39,60,15,35.09357419,30.98685456,5.004074624,116.9106908,pigeonpeas,Peaty Soil
63.39035927,56.71510226,50.41690359,42.99589944,95.2485561,6.732128853,43.16709241,papaya,Laterite Soil
38.19143625,5,34.22710499,25.85639341,95.56423646,5.758122739,150.9193291,coconut,Clay Soil
22.88073338,43.2449329,25.40543558,25.37111271,52.71675972,4.535048174,45.39849446,mothbeans,Black Soil
33.53455597,67.2638508,18.70042964,32.77280239,60.50335171,7.58879852,74.33814696,blackgram,Laterite Soil
38.52002092,15.8140989,25.38123903,33.63885326,49.39986308,6.767381366,91.5775723,mango,Sandy Soil
100.0877402,16.94415876,45.20245942,29.57283204,94.57244197,6.178625393,24.67492579,muskmelon,Red Soil
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans,Laterite Soil
41.02120732,144.0735454,201.3522508,37.04304099,79.98170358,5.77720067,74.47366956,grapes,Sandy Soil
25.32523354,130.4139995,196.5930065,22.41173341,90.23978167,5.767940658,97.76459321,apple,Sandy Soil
85.45739784,24.65224848,46.95296176,26.11777992,87.50304542,6.325779501,59.38825668,watermelon,Clay Soil
7.040328478,16.87601273,27.29147884,35.95273621,48.91331796,4.55944359,97.58213168,mango,Laterite Soil
44.43726138,63.92855699,55.85645685,29.84331146,91.28015622,6.758946331,231.5754463,papaya,Black Soil
41.70359767,79.07816958,24.46470258,27.99222995,63.24910057,6.802731475,67.99045105,blackgram,Loamy Soil
68.25513719,70.97080233,51.91285255,31.30688965,92.93334008,6.988485614,50.51960445,papaya,Clay Soil
67.73833018,69.99735201,53.39729186,25.53236164,92.36889477,6.811059583,53.55403176,papaya,Red Soil
88.42093391,55.76216692,49.59534457,25.61976916,84.25831481,6.130822504,235.1847651,rice,Clay Soil
112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,cotton,Red Soil
15.6241232,14.08464101,6.997018906,9.959726005,90.09813601,6.192656913,118.2110472,orange,Allvial Soil
37.4076634,68.69129646,23.09892559,19.82235137,25.10110405,5.784194279,84.4953115,kidneybeans,Loamy Soil
63.27674735,57.81144197,46.4824268,26.92339626,90.79638165,6.828358844,141.8066089,papaya,Clay Soil
